,address,F_DISA_NM,F_AVR_HGT,F_AREA,F_RSN_DTL,GU_NAM,F_SHIM,M_P_NAM,D_P_NAM,ClASS_NAM,A_F_NM,U_F_NM,x,y,geometry,Year
0,서울특별시 강동구 고덕동 659,2017년 7.2 ~ 7.11 호우,27.63,227.6,내수침수,강동구,0.5,단독주택,단독주택,주거용,2,1,127.1512689,37.56154838,POINT (127.1512689 37.56154838),2017
1,서울특별시 강동구 성내동 130-10,2017년 7.2 ~ 7.11 호우,18.53,119.0,내수침수,강동구,0.5,단독주택,단독주택,주거용,2,1,127.1246053,37.5339462,POINT (127.1246053 37.5339462),2017
2,서울특별시 강동구 성내동 215-5,2017년 7.2 ~ 7.11 호우,20.36,116.0,내수침수,강동구,0.3,단독주택,단독주택,주거용,2,1,127.1291287,37.53380754,POINT (127.1291287 37.53380754),2017
3,서울특별시 강동구 천호동 48-18,2017년 7.2 ~ 7.11 호우,20.06,279.6,내수침수,강동구,0.3,단독주택,다가구주택,주거용,3,1,127.1385384,37.54313188,POINT (127.1385384 37.54313188),2017
4,서울특별시 강동구 천호동 290-19,2017년 7.2 ~ 7.11 호우,18.48,112.5,내수침수,강동구,0.5,단독주택,단독주택,주거용,2,1,127.1309078,37.54777666,POINT (127.1309078 37.54777666),2017
5,서울특별시 구로구 구로동 1279,2019년 제13호 태풍 링링,12.78,4381.3,기타,구로구,0.3,공동주택,아파트,주거용,15,1,126.8939245,37.48801848,POINT (126.8939245 37.48801848),2019
6,서울특별시 강북구 미아동 258-241,2022년 8.8 ~17. 호우,75.48,105.0,내수침수,강북구,0.02,공동주택,다세대주택,주거용,2,1,127.0332231,37.62366986,POINT (127.0332231 37.62366986),2022
7,서울특별시 강북구 미아동 258-224,2022년 8.8 ~17. 호우,51.27,181.0,내수침수,강북구,0.02,공동주택,다세대주택,주거용,2,1,127.0328918,37.62278926,POINT (127.0328918 37.62278926),2022
8,서울특별시 영등포구 신길동 442-14,2022년 8.8 ~17. 호우,14.3,114.25,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9067031,37.4989253,POINT (126.9067031 37.4989253),2022
9,서울특별시 영등포구 신길동 442-15,2022년 8.8 ~17. 호우,14.3,115.76,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9065852,37.49895068,POINT (126.9065852 37.49895068),2022
10,서울특별시 영등포구 신길동 442-23,2022년 8.8 ~17. 호우,14.3,105.6,내수침수,영등포구,0.3,단독주택,단독주택,주거용,2,1,126.9065478,37.49882724,POINT (126.9065478 37.49882724),2022
11,서울특별시 영등포구 신길동 442-24,2022년 8.8 ~17. 호우,14.3,110.35,내수침수,영등포구,0.3,단독주택,단독주택,주거용,2,1,126.9066439,37.49880702,POINT (126.9066439 37.49880702),2022
12,서울특별시 영등포구 신길동 442-25,2022년 8.8 ~17. 호우,14.3,84.32,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,3,1,126.9067735,37.49879374,POINT (126.9067735 37.49879374),2022
13,서울특별시 영등포구 신길동 442-20,2022년 8.8 ~17. 호우,14.3,116.48,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9064447,37.49898192,POINT (126.9064447 37.49898192),2022
14,서울특별시 영등포구 신길동 442-22,2022년 8.8 ~17. 호우,14.3,109.21,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9064523,37.49884761,POINT (126.9064523 37.49884761),2022
15,서울특별시 영등포구 신길동 442-31,2022년 8.8 ~17. 호우,14.3,103.25,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9066112,37.49870597,POINT (126.9066112 37.49870597),2022
16,서울특별시 도봉구 방학동 659-24,2022년 8.8 ~17. 호우,27.44,145.29,내수침수,도봉구,0.3,단독주택,단독주택,주거용,3,1,127.0389402,37.66758718,POINT (127.0389402 37.66758718),2022
17,서울특별시 용산구 한강로2가 2-194,2022년 8.8 ~17. 호우,22.61,186.01,내수침수,용산구,0.1,공동주택,연립주택,주거용,2,1,126.967446,37.53079303,POINT (126.967446 37.53079303),2022
18,서울특별시 용산구 한강로2가 2-194,2022년 8.8 ~17. 호우,22.61,186.01,내수침수,용산구,0.1,공동주택,연립주택,주거용,2,1,126.967446,37.53079303,POINT (126.967446 37.53079303),2022
19,서울특별시 용산구 한강로2가 2-194,2022년 8.8 ~17. 호우,22.61,186.01,내수침수,용산구,0.1,공동주택,연립주택,주거용,2,1,126.967446,37.53079303,POINT (126.967446 37.53079303),2022
20,서울특별시 용산구 한강로2가 2-194,2022년 8.8 ~17. 호우,22.61,186.01,내수침수,용산구,0.1,공동주택,연립주택,주거용,2,1,126.967446,37.53079303,POINT (126.967446 37.53079303),2022
21,서울특별시 도봉구 방학동 647-43,2022년 8.8 ~17. 호우,25.97,151.67,내수침수,도봉구,0.3,공동주택,다세대주택,주거용,4,1,127.0405962,37.66875595,POINT (127.0405962 37.66875595),2022
22,서울특별시 도봉구 방학동 647-3,2022년 8.8 ~17. 호우,27.3,174.57,내수침수,도봉구,0.3,단독주택,다가구주택,주거용,4,1,127.039462,37.6684502,POINT (127.039462 37.6684502),2022
23,서울특별시 도봉구 방학동 648-19,2022년 8.8 ~17. 호우,26.13,107.68,내수침수,도봉구,0.3,단독주택,다가구주택,주거용,3,1,127.039986,37.66809685,POINT (127.039986 37.66809685),2022
24,서울특별시 영등포구 신길동 443-22,2022년 8.8 ~17. 호우,15.3,142.79,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9068283,37.49847822,POINT (126.9068283 37.49847822),2022
25,서울특별시 도봉구 방학동 642-14,2022년 8.8 ~17. 호우,28.24,145.47,내수침수,도봉구,0.3,단독주택,다가구주택,주거용,2,1,127.0381322,37.6675839,POINT (127.0381322 37.6675839),2022
26,서울특별시 도봉구 방학동 622-27,2022년 8.8 ~17. 호우,31.53,252.1,내수침수,도봉구,0.3,공동주택,다세대주택,주거용,4,1,127.0369959,37.66935811,POINT (127.0369959 37.66935811),2022
27,서울특별시 영등포구 도림동 114-11,2022년 8.8 ~17. 호우,21.55,203.0,내수침수,영등포구,0.3,공동주택,연립주택,주거용,3,1,126.9055621,37.50978103,POINT (126.9055621 37.50978103),2022
28,서울특별시 영등포구 도림동 114-13,2022년 8.8 ~17. 호우,21.45,186.0,내수침수,영등포구,0.3,공동주택,연립주택,주거용,4,1,126.9054536,37.50975579,POINT (126.9054536 37.50975579),2022
29,서울특별시 영등포구 도림동 104-3,2022년 8.8 ~17. 호우,18.85,165.0,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,3,1,126.9070577,37.51024389,POINT (126.9070577 37.51024389),2022
30,서울특별시 영등포구 도림동 82-16,2022년 8.8 ~17. 호우,17.98,93.0,내수침수,영등포구,0.3,단독주택,단독주택,주거용,2,1,126.9070608,37.50989984,POINT (126.9070608 37.50989984),2022
31,서울특별시 영등포구 도림동 103-10,2022년 8.8 ~17. 호우,18.71,171.0,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,3,1,126.9071694,37.51023931,POINT (126.9071694 37.51023931),2022
32,서울특별시 영등포구 도림동 82-14,2022년 8.8 ~17. 호우,18.06,78.0,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9072135,37.50990244,POINT (126.9072135 37.50990244),2022
33,서울특별시 영등포구 도림동 82-13,2022년 8.8 ~17. 호우,18.28,132.0,내수침수,영등포구,0.3,단독주택,단독주택,주거용,2,1,126.9072878,37.50996794,POINT (126.9072878 37.50996794),2022
34,서울특별시 영등포구 도림동 81-13,2022년 8.8 ~17. 호우,17.08,33.0,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,4,1,126.90703,37.5094017,POINT (126.90703 37.5094017),2022
35,서울특별시 영등포구 도림동 107-1,2022년 8.8 ~17. 호우,17.75,139.0,내수침수,영등포구,0.3,단독주택,단독주택,주거용,2,1,126.9067888,37.50979897,POINT (126.9067888 37.50979897),2022
36,서울특별시 영등포구 도림동 108-2,2022년 8.8 ~17. 호우,18.25,93.0,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,2,1,126.9066461,37.5098327,POINT (126.9066461 37.5098327),2022
37,서울특별시 영등포구 도림동 106-1,2022년 8.8 ~17. 호우,18.15,155.0,내수침수,영등포구,0.3,단독주택,다가구주택,주거용,3,1,126.9068772,37.50991804,POINT (126.9068772 37.50991804),2022
